Total Size (X, Y): 90 x 90
Considering Position <25, 52> at step 470
Considering Position <30, 32> at step 471
Considering Position <29, 33> at step 471
Considering Position <29, 31> at step 471
Considering Position <26, 54> at step 473
Considering Position <25, 55> at step 473
Considering Position <29, 33> at step 474
Considering Position <4, 28> at step 477
Considering Position <3, 27> at step 477
Considering Position <4, 26> at step 477
Considering Position <28, 30> at step 478
Considering Position <28, 28> at step 478
Considering Position <32, 44> at step 479
Considering Position <33, 44> at step 481
Considering Position <32, 45> at step 481
Considering Position <32, 43> at step 481
Considering Position <17, 57> at step 482
Considering Position <33, 43> at step 483
Considering Position <32, 46> at step 484
Considering Position <18, 57> at step 485
Considering Position <17, 58> at step 485
Considering Position <32, 47> at step 486
Considering Position <31, 46> at step 486
Considering Position <19, 57> at step 487
Considering Position <18, 58> at step 487
Considering Position <18, 58> at step 488
Considering Position <17, 59> at step 488
Considering Position <20, 57> at step 489
Considering Position <19, 58> at step 489
Considering Position <19, 56> at step 489
Considering Position <12, 59> at step 490
Considering Position <30, 38> at step 491
Considering Position <30, 38> at step 492
Considering Position <28, 50> at step 494
Considering Position <27, 51> at step 494
Considering Position <15, 58> at step 496
Considering Position <14, 57> at step 496
Considering Position <13, 59> at step 497
Considering Position <12, 60> at step 497
Considering Position <11, 59> at step 497
Considering Position <30, 39> at step 498
Considering Position <27, 52> at step 499
Considering Position <26, 51> at step 499
Considering Position <28, 49> at step 500
Considering Position <15, 59> at step 501
Considering Position <14, 58> at step 501
Considering Position <31, 39> at step 502
Considering Position <30, 40> at step 502
Considering Position <10, 54> at step 504
Considering Position <14, 58> at step 505
Considering Position <14, 56> at step 505
Considering Position <7, 37> at step 506
Considering Position <6, 36> at step 506
Considering Position <25, 26> at step 508
Considering Position <28, 52> at step 513
Considering Position <26, 26> at step 515
Considering Position <27, 26> at step 517
Considering Position <27, 24> at step 519
Considering Position <13, 60> at step 520
Considering Position <28, 24> at step 521
Considering Position <27, 25> at step 521
Considering Position <28, 25> at step 523
Considering Position <27, 26> at step 523
Considering Position <8, 37> at step 524
Considering Position <7, 38> at step 524
Considering Position <9, 37> at step 525
Considering Position <8, 38> at step 525
Considering Position <8, 38> at step 526
Considering Position <7, 39> at step 526
Considering Position <7, 19> at step 527
Considering Position <8, 18> at step 527
Considering Position <18, 20> at step 528
Considering Position <17, 19> at step 528
Considering Position <28, 24> at step 529
Considering Position <20, 58> at step 530
Considering Position <5, 34> at step 531
